term,uri
abstract,http://purl.org/dc/terms/abstract
accessRights,http://purl.org/dc/terms/accessRights
accrualMethod,http://purl.org/dc/terms/accrualMethod
accrualPeriodicity,http://purl.org/dc/terms/accrualPeriodicity
accrualPolicy,http://purl.org/dc/terms/accrualPolicy
alternative,http://purl.org/dc/terms/alternative
audience,http://purl.org/dc/terms/audience
available,http://purl.org/dc/terms/available
bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation
conformsTo,http://purl.org/dc/terms/conformsTo
contributor,http://purl.org/dc/terms/contributor
coverage,http://purl.org/dc/terms/coverage
created,http://purl.org/dc/terms/created
creator,http://purl.org/dc/terms/creator
date,http://purl.org/dc/terms/date
dateAccepted,http://purl.org/dc/terms/dateAccepted
dateCopyrighted,http://purl.org/dc/terms/dateCopyrighted
dateSubmitted,http://purl.org/dc/terms/dateSubmitted
description,http://purl.org/dc/terms/description
educationLevel,http://purl.org/dc/terms/educationLevel
extent,http://purl.org/dc/terms/extent
format,http://purl.org/dc/terms/format
hasFormat,http://purl.org/dc/terms/hasFormat
hasPart,http://purl.org/dc/terms/hasPart
hasVersion,http://purl.org/dc/terms/hasVersion
identifier,http://purl.org/dc/terms/identifier
instructionalMethod,http://purl.org/dc/terms/instructionalMethod
isFormatOf,http://purl.org/dc/terms/isFormatOf
isPartOf,http://purl.org/dc/terms/isPartOf
isReferencedBy,http://purl.org/dc/terms/isReferencedBy
isReplacedBy,http://purl.org/dc/terms/isReplacedBy
isRequiredBy,http://purl.org/dc/terms/isRequiredBy
issued,http://purl.org/dc/terms/issued
isVersionOf,http://purl.org/dc/terms/isVersionOf
language,http://purl.org/dc/terms/language
license,http://purl.org/dc/terms/license
mediator,http://purl.org/dc/terms/mediator
medium,http://purl.org/dc/terms/medium
modified,http://purl.org/dc/terms/modified
provenance,http://purl.org/dc/terms/provenance
publisher,http://purl.org/dc/terms/publisher
references,http://purl.org/dc/terms/references
relation,http://purl.org/dc/terms/relation
replaces,http://purl.org/dc/terms/replaces
requires,http://purl.org/dc/terms/requires
rights,http://purl.org/dc/terms/rights
rightsHolder,http://purl.org/dc/terms/rightsHolder
source,http://purl.org/dc/terms/source
spatial,http://purl.org/dc/terms/spatial
subject,http://purl.org/dc/terms/subject
tableOfContents,http://purl.org/dc/terms/tableOfContents
temporal,http://purl.org/dc/terms/temporal
title,http://purl.org/dc/terms/title
type,http://purl.org/dc/terms/type
valid,http://purl.org/dc/terms/valid
